"","x"
"416",-1976772318
"417",-1380725080
"418",-256868468
"419",-325073732
"420",-340393166
"421",1063560768
"422",-1972988748
"423",-304079800
"424",263380410
"425",387324432
"426",439508204
"427",-205930156
"428",1150245650
"429",-1954732640
"430",489181900
"431",-1749984672
"432",1598085058
"433",-1490939096
"434",-1516371540
"435",225584444
"436",1996530546
"437",697111856
"438",694501156
"439",-1590135496
"440",-1854941478
"441",-1512630384
"442",-2007112964
"443",1197947796
"444",803734594
"445",1797582080
"446",-1241550788
"447",1904237904
"448",903337122
"449",-603436216
"450",551911180
"451",-1879605540
"452",1947412306
"453",1823725184
"454",2040606804
"455",-1513516056
"456",-117568774
"457",-1584699112
"458",1933473846
"459",986066627
"460",1819247365
"461",1746282146
"462",-646945648
"463",-1669688263
"464",-1438987029
"465",1264397788
"466",-1876782070
"467",346555135
"468",-540632247
"469",-1858555682
"470",1620749964
"471",-1375139235
"472",375048295
"473",1747424656
"474",1819981230
"475",-74624933
"476",266672189
"477",-1476215126
"478",-91043000
"479",-119890063
"480",-621401885
"481",-1125838876
"482",-953956590
"483",-1902208281
"484",-997327695
"485",1170484982
"486",2019236116
"487",-550068699
"488",2070917935
"489",639448296
"490",-1968663098
"491",-1941949325
"492",-732487979
"493",1790461106
"494",-1529427840
"495",1750819945
"496",-1413631781
"497",-210521044
"498",1588161594
"499",-361088273
"500",-1346951815
"501",-1937769970
"502",-2113606692
"503",1505821773
"504",988239799
"505",291211584
"506",-251129826
"507",-404588821
"508",793794157
"509",-554115366
"510",-811745640
"511",-725883647
"512",65981107
"513",2072503764
"514",124908770
"515",-775684745
"516",1364288705
"517",-849012666
"518",198330244
"519",-1067089611
"520",-960938209
"521",146125432
"522",-1359542442
"523",1617561059
"524",-729162843
"525",-12703166
"526",-1908021200
"527",-1493169063
"528",994341323
"529",455352892
"530",-1690481558
"531",739790495
"532",-665431255
"533",-236200002
"534",1403399852
"535",303059965
"536",-2006758585
"537",585591856
"538",-160596658
"539",1728296315
"540",2117710557
"541",1319719690
"542",-1123773912
"543",-1681151343
"544",1086986883
"545",-1677636732
"546",-1954524750
"547",163442439
"548",1205120337
"549",71460054
"550",-1299017292
"551",2120508869
"552",-1837038321
"553",1080345480
"554",260844198
"555",1000479315
"556",-1327639627
"557",1994445074
"558",-1415572768
"559",222213961
"560",-6796933
"561",-2030140340
"562",229864922
"563",-642132017
"564",1548380569
"565",2047658414
"566",315573948
"567",434034477
"568",-1864502057
"569",-1104265952
"570",-625685890
"571",916886603
"572",-1985112499
"573",-694408070
"574",410291384
"575",199517793
"576",1145027603
"577",1856625204
"578",-1148367806
"579",1546658903
"580",624144289
"581",-137551770
"582",-1550018460
"583",1783067541
"584",-636242753
"585",271103064
"586",285798518
"587",-1165524861
"588",808915141
"589",1047932386
"590",-1822665648
"591",-2071224967
"592",332194475
"593",979229212
"594",-990902966
"595",-1426383553
"596",-364766327
"597",355685278
"598",2142990924
"599",-2010680291
"600",2000194983
"601",-1540374320
"602",1132229230
"603",858205467
"604",614479485
"605",-779815830
"606",1030144264
"607",116692401
"608",-1672760797
"609",-523282652
"610",455995346
"611",1562147879
"612",234559089
"613",2030947510
"614",1080163412
"615",1558594789
"616",-1886367505
"617",-555527128
"618",-164290426
"619",-340878669
"620",2108316693
"621",1238842994
"622",1258986176
"623",-764584151
"624",439332251
"625",310942316
"626",1604359262
